Sample	Assay	Bed_file	AUROC	PR-AUC	Baseline_PR-AUC
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF859JHN.bed	0.9610703434217376	0.6643037442980492	0.017908960459183672
dorsolateral-prefrontal-cortex	CTCF	ENCFF237RIC.bed	0.9472282779237888	0.40295570482633186	0.007696906887755102
dorsolateral-prefrontal-cortex	CTCF	ENCFF847LHJ.bed	0.9514636281582519	0.401901968330918	0.00692562181122449
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF267YYH.bed	0.8981982715241245	0.18469365359680465	0.023192362882653063
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF629GOS.bed	0.9538425738904115	0.6540507847227555	0.021789301658163264
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF706DGK.bed	0.9619682925279744	0.6572773104201759	0.015051020408163265
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF009QWW.bed	0.9297867302125756	0.5876049443004454	0.028132971938775512
astrocyte	H2AFZ	ENCFF014XDW.bed	0.8819789717199392	0.35132998237059954	0.02810307716836735
posterior-cingulate-gyrus	DNase-seq	ENCFF626KCP.bed	0.9256309990827155	0.162251344470052	0.009263392857142857
dorsolateral-prefrontal-cortex	CTCF	ENCFF811LFG.bed	0.9563413258824001	0.41912652761133307	0.005917171556122449
temporal-lobe	H3K36me3	ENCFF765KAL.bed	0.8338305168124784	0.07487074652109388	0.014335538903061225
globus-pallidus	DNase-seq	ENCFF397GLL.bed	0.8855401081230462	0.16504902054979914	0.007762675382653061
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF261NKP.bed	0.9538009928778928	0.6492689702801326	0.021480389030612244
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF889LTS.bed	0.7488615484744052	0.1367713977138546	0.006975446428571429
posterior-cingulate-gyrus	DNase-seq	ENCFF376UYD.bed	0.9683832676354085	0.2807997209370616	0.005568399234693878
brain	H3K9me3	ENCFF717QUI.bed	0.7815807478934473	0.1520276960357274	0.038083944515306126
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF358ZOO.bed	0.9421970376806997	0.19691120233013998	0.008266900510204081
head-of-caudate-nucleus	DNase-seq	ENCFF694QZU.bed	0.9367679389009507	0.2692252089521161	0.010002790178571428
SK-N-MC	H3K9ac	ENCFF122KJD.bed	0.8294691483447745	0.2685890537505049	0.03251753826530612
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF963UEV.bed	0.9660434692658759	0.6963847850667968	0.018429129464285713
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF731URZ.bed	0.9356821962177271	0.22628609953223683	0.011352040816326531
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF610ZPW.bed	0.8146288017501121	0.23143356557797395	0.04151586415816327
SK-N-SH	H3K36me3	ENCFF256KSY.bed	0.7962115794133131	0.14061767964486377	0.04081433354591837
brain	CTCF	ENCFF299IFD.bed	0.9308688993337667	0.3866745358562894	0.00830078125
SK-N-SH	GLIS3	ENCFF805ZFZ.bed	0.8486102530381391	0.011856702606030781	0.0003826530612244898
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF384NUC.bed	0.922191921780818	0.5669075785863005	0.03182796556122449
SK-N-SH	ZNF70	ENCFF268RHV.bed	0.7579073062776197	0.00643333405975673	0.0009287308673469387
dorsolateral-prefrontal-cortex	CTCF	ENCFF484HIN.bed	0.9569568236023701	0.37563170669810403	0.004948580994897959
SK-N-SH	ZNF565	ENCFF116TSA.bed	0.8357467914438347	0.008843415831161995	0.00020527742346938775
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF229NLK.bed	0.7920841813922425	0.2367254403206762	0.057242506377551024
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF877AFT.bed	0.894436587916885	0.15065350447347478	0.0019949776785714284
head-of-caudate-nucleus	DNase-seq	ENCFF827HTL.bed	0.9361565208235533	0.2426565715265849	0.010287786989795919
head-of-caudate-nucleus	DNase-seq	ENCFF510VDM.bed	0.9384864466091716	0.2593276377373942	0.00978156887755102
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF775DIQ.bed	0.953887840718833	0.6449585726898	0.018435108418367346
germinal-matrix	H3K9me3	ENCFF493XBF.bed	0.7959273030723288	0.1356618790363477	0.03591159119897959
head-of-caudate-nucleus	DNase-seq	ENCFF848GFM.bed	0.9429455829698192	0.2824713904258022	0.010070551658163266
SK-N-SH	MXI1	ENCFF030DAG.bed	0.931807519552958	0.202042220290698	0.005092075892857143
choroid-plexus-epithelial-cell	DNase-seq	ENCFF876SGV.bed	0.8159737277762884	0.1572067481440379	0.028635204081632653
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF756BDJ.bed	0.7125860433593525	0.11029527485300958	0.020770886479591837
temporal-lobe	H3K27me3	ENCFF381GOF.bed	0.7911306743115307	0.09006442026918682	0.021195392219387755
posterior-cingulate-gyrus	DNase-seq	ENCFF900IJE.bed	0.9422490470460856	0.1574424655889101	0.006176259566326531
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF189UQY.bed	0.809523602846465	0.25842983326655633	0.05307716836734694
dorsolateral-prefrontal-cortex	CTCF	ENCFF302EBF.bed	0.9418961565541022	0.407089200227032	0.008248963647959184
motor-neuron	H3K4me3	ENCFF153WWO.bed	0.9784518194694929	0.7325874814755067	0.014492984693877551
SK-N-SH	H3K4me2	ENCFF680QLN.bed	0.8139850607553245	0.30730462410811127	0.04719985650510204
motor-neuron	H3K4me3	ENCFF852WHF.bed	0.970880775108919	0.7154980830463292	0.01572464923469388
dorsolateral-prefrontal-cortex	CTCF	ENCFF159EKP.bed	0.9527595297369459	0.4183212116549082	0.007914142219387755
head-of-caudate-nucleus	DNase-seq	ENCFF426CKX.bed	0.9418627980538379	0.26442524947963125	0.009654017857142858
posterior-cingulate-gyrus	DNase-seq	ENCFF227XCF.bed	0.9520785576470318	0.24863438526197695	0.008370535714285714
dorsolateral-prefrontal-cortex	H3K27ac	ENCFF474VLR.bed	0.8234579101627194	0.26334434416394104	0.037890625
SK-N-SH	PBX3	ENCFF154YQZ.bed	0.8387494998434687	0.05792366954352881	0.0061443718112244895
dorsolateral-prefrontal-cortex	CTCF	ENCFF108PPI.bed	0.959704490238907	0.3798258441455027	0.005666055484693878
caudate-nucleus	H3K4me3	ENCFF979YXX.bed	0.9382109229821586	0.5470830205528983	0.020665258290816328
SK-N-MC	FOXP2	ENCFF085CNS.bed	0.8659265116079918	0.07606896136684478	0.003565449617346939
dorsolateral-prefrontal-cortex	CTCF	ENCFF822EDI.bed	0.9499376794271636	0.40198959859197947	0.006531010841836734
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF700VSF.bed	0.9574879326088033	0.6516090897968557	0.019664779974489795
motor-neuron	H3K4me1	ENCFF785LEY.bed	0.7906363605559464	0.11192260553596034	0.03461814413265306
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF620QQE.bed	0.7276422762657183	0.13408098622864317	0.015561224489795918
posterior-cingulate-gyrus	DNase-seq	ENCFF059KEW.bed	0.9232224550316726	0.18436907442609338	0.011162707270408164
SK-N-SH	POU6F1	ENCFF065OBK.bed	0.8362428700847725	0.013333549126115674	0.0004424426020408163
astrocyte	H3K27ac	ENCFF449QCR.bed	0.7862212183017233	0.19581903423988747	0.03737045599489796
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF218KRJ.bed	0.7440786237026726	0.1453324099511388	0.006098533163265306
dorsolateral-prefrontal-cortex	H3K36me3	ENCFF846NTY.bed	0.832422943325149	0.10850232623796434	0.022263632015306123
SK-N-MC	H3K27ac	ENCFF104LAY.bed	0.7251594113284794	0.10217306608948579	0.060186144770408165
layer-of-hippocampus	H3K27me3	ENCFF700KWB.bed	0.849976787557288	0.09434816063191806	0.012753109056122449
SK-N-SH	NFIC	ENCFF749DWZ.bed	0.8183426525190993	0.043415503609659296	0.005520567602040816
head-of-caudate-nucleus	DNase-seq	ENCFF034GAG.bed	0.9480409423080038	0.26916237416501226	0.008801020408163265
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF051DLA.bed	0.9547943495364112	0.647234879815808	0.020713089923469388
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF689TKU.bed	0.7584138245164631	0.1458347402731048	0.015351961096938775
SK-N-SH	H3K9me3	ENCFF492WIJ.bed	0.6857995158969079	0.013695189527708089	0.008085538903061225
dorsolateral-prefrontal-cortex	DNase-seq	ENCFF972QRH.bed	0.9377197303304113	0.22097883046308675	0.008506058673469388
dorsolateral-prefrontal-cortex	H3K4me3	ENCFF901ZYJ.bed	0.9542944151770165	0.6487422126011272	0.021813217474489797
SK-N-SH	OSR1	ENCFF318YAU.bed	0.8698883454396398	0.04033981813296672	0.00015345982142857143
temporal-lobe	H3K4me1	ENCFF452SPQ.bed	0.8219330828450335	0.17935934652362587	0.05191127232142857
substantia-nigra	H3K9me3	ENCFF693XRD.bed	0.8010048459198611	0.039173268750670114	0.011282286352040816
dorsolateral-prefrontal-cortex	H3K27me3	ENCFF370CQH.bed	0.7344645802808122	0.13022051506215107	0.01394889987244898
